"","City_code","lon","lat","num_tweets"
"309","BASTROP LA",-91.91439819,32.77897644,6
"310","BASTROP TX",-97.31572723,30.11092758,33
"311","BATAVIA IA",-92.16798401,40.99414825,3
"312","BATAVIA NY",-78.18697357,42.99835587,27
"313","BATAVIA OH",-84.17655182,39.07704926,4
"314","BATESVILLE AR",-91.64100647,35.76984024,4
"315","BATESVILLE IN",-85.22227478,39.3000145,1
"316","BATESVILLE MS",-89.94464874,34.31167603,54
"317","BATH ME",-69.81929779,43.9107132,2
"318","BATON ROUGE LA",-91.15479279,30.45132256,1650
"319","BATTLE CREEK MI",-85.17985535,42.32100677,30
"320","BATTLE GROUND WA",-122.53560638,45.78078842,12
"321","BATTLE LAKE MN",-95.71406555,46.28032303,1
"322","BAXLEY GA",-82.34827423,31.77871323,2
"323","BAXTER SPRINGS KS",-94.73813629,37.02472305,20
"324","BAY CITY MI",-83.8886261,43.59466171,56
"325","BAY CITY TX",-95.9697113,28.98308754,2
"326","BAY HARBOR ISLANDS FL",-80.13056946,25.88832092,1
"327","BAY LAKE FL",-81.92185974,28.45840073,28
"328","BAY SPRINGS MS",-89.28733826,31.97930336,3
"329","BAY VILLAGE OH",-81.92155457,41.48464966,49
"330","BAYFIELD WI",-90.81848145,46.81044769,1
"331","BAYONNE NJ",-74.10975647,40.66794968,38
"332","BAYTOWN TX",-94.97782135,29.73608589,170
"333","BEACON NY",-73.9688797,41.50502014,88
"334","BEAR LAKE MI",-86.14846802,44.42086029,6
"335","BEARDSLEY MN",-96.71322632,45.55812454,1
"336","BEATRICE NE",-96.74773407,40.26797104,1
"337","BEAUFORT NC",-76.66288757,34.71848679,21
"338","BEAUFORT SC",-80.68718719,32.44019699,37
"339","BEAUMONT CA",-116.97831726,33.9292717,8
"340","BEAUMONT TX",-94.10238647,30.08622551,191
"341","BEAVER DAM KY",-86.87591553,37.40219879,2
"342","BEAVER DAM WI",-88.83752441,43.45764542,3
"343","BEAVER FALLS PA",-80.3188858,40.75218582,5
"344","BEAVER PA",-80.30450439,40.69532776,17
"345","BEAVER UT",-112.64833069,38.27668381,6
"346","BEAVERCREEK OH",-84.06332397,39.70913696,63
"347","BEAVERTON OR",-122.80553436,45.48670197,397
"348","BECKLEY WV",-81.18963623,37.77680588,12
"349","BEDFORD IN",-86.48697662,38.86146164,13
"350","BEDFORD MA",-71.27526855,42.49069214,7
"351","BEDFORD NY",-73.64318085,41.204319,34
"352","BEDFORD OH",-81.53594208,41.39339828,11
"353","BEDFORD PA",-78.50319672,40.01898575,16
"354","BEDFORD TX",-97.14364624,32.8442955,39
"355","BEDFORD VA",-79.52242279,37.33457184,7
"356","BEDMINSTER NJ",-74.64486694,40.68070602,4
"357","BEE CAVE TX",-97.94541931,30.30895233,1
"358","BEEBE AR",-91.87966156,35.07094574,4
"359","BEECH GROVE IN",-86.08973694,39.72201157,11
"360","BEECHER CITY IL",-88.78668976,39.18835068,3
"361","BEEVILLE TX",-97.7488327,28.40157127,7
"362","BEL AIR MD",-76.34788513,39.53611374,42
"363","BELCHERTOWN MA",-72.40000153,42.27737427,1
"364","BELDING MI",-85.22901917,43.09791946,3
"365","BELEN NM",-106.77502441,34.65850067,8
"366","BELL CA",-118.18895721,33.97753906,38
"367","BELL GARDENS CA",-118.15369415,33.96530914,2
"368","BELLAIRE MI",-85.21157837,44.98040009,1
"369","BELLAIRE OH",-80.74460602,40.02676773,1
"370","BELLAIRE TX",-95.4592514,29.70632935,4
"371","BELLE GLADE FL",-80.66747284,26.68785477,9
"372","BELLE MO",-91.72072601,38.28581619,1
"373","BELLEAIR BEACH FL",-82.84260559,27.9237709,4
"374","BELLEFONTAINE OH",-83.75959015,40.36141205,5
"375","BELLEFONTE PA",-77.77765656,40.91333389,27
"376","BELLEVIEW FL",-82.06185913,29.05568314,9
"377","BELLEVILLE IL",-89.98438263,38.52002716,661
"378","BELLEVILLE MI",-83.48514557,42.20495987,17
"379","BELLEVILLE NJ",-74.14912415,40.79369736,5
"380","BELLEVUE IA",-90.42323303,42.25885773,1
"381","BELLEVUE KY",-84.47879791,39.10644531,9
"382","BELLEVUE NE",-95.89156342,41.13648224,35
"383","BELLEVUE OH",-82.84135437,41.27357483,2
"384","BELLEVUE PA",-80.05105591,40.49424362,6
"385","BELLEVUE WA",-122.20296478,47.61014557,281
"386","BELLFLOWER CA",-118.11862946,33.88169479,40
"387","BELLINGHAM WA",-122.47274017,48.76121521,566
"388","BELLMAWR NJ",-75.09385681,39.86771774,39
"389","BELLPORT NY",-72.93808746,40.75737,24
"390","BELLVILLE TX",-96.25782776,29.95071411,2
"391","BELLWOOD IL",-87.88317108,41.88128662,1
"392","BELMAR NJ",-74.02155304,40.17336273,5
"393","BELMONT CA",-122.27835083,37.51996613,78
"394","BELMONT MA",-71.1774292,42.39597321,4
"395","BELMONT MS",-88.20941162,34.51007462,5
"396","BELMONT NC",-81.0369873,35.24316406,15
"397","BELOIT WI",-89.03194427,42.50856781,14
"398","BELTON MO",-94.53222656,38.81176376,20
"399","BELTON TX",-97.46511841,31.05611229,47
"400","BELVIDERE IL",-88.84451294,42.26396942,8
"401","BEMENT IL",-88.57191467,39.92221832,1
"402","BEMIDJI MN",-94.88105774,47.47352982,52
"403","BENBROOK TX",-97.46098328,32.67370987,6
"404","BEND OR",-121.31713867,44.0577774,475
"405","BENICIA CA",-122.16030121,38.04900742,41
"406","BENLD IL",-89.80440521,39.09303665,1
"407","BENNETT CO",-104.42858887,39.75864792,4
"408","BENNETTSVILLE SC",-79.68428802,34.61242676,1
"409","BENNINGTON VT",-73.19591522,42.87845612,2
"410","BENSENVILLE IL",-87.94012451,41.95510483,19
"411","BENSON NC",-78.54795074,35.38231659,3
"412","BENTON AR",-92.58699036,34.56454468,5
"413","BENTON HARBOR MI",-86.45429993,42.11692429,28
"414","BENTON KY",-88.35020447,36.85724258,1
"415","BENTON LA",-93.74242401,32.69527817,3
"416","BENTONVILLE AR",-94.20933533,36.3728447,106
"417","BEREA KY",-84.29612732,37.5687027,10
"418","BEREA OH",-81.85396576,41.36633301,41
"419","BERGENFIELD NJ",-73.99640656,40.92791748,8
"420","BERKELEY CA",-122.2752533,37.87145615,2833
"421","BERKELEY HEIGHTS NJ",-74.44181824,40.68349838,8
"422","BERKELEY MO",-90.33169556,38.75470734,28
"423","BERKLEY MI",-83.18341827,42.50307083,17
"424","BERLIN MD",-75.21686554,38.32276917,3
"425","BERLIN NJ",-74.9280014,39.79132462,2
"426","BERNALILLO NM",-106.55163574,35.30175781,8
"427","BERRIEN SPRINGS MI",-86.33900452,41.94654846,50
"428","BERRYVILLE VA",-77.9814682,39.15181732,3
"429","BERTHOUD CO",-105.08589172,40.30111313,2
"430","BERWICK LA",-91.22148895,29.69494629,1
"431","BERWICK ME",-70.86322784,43.26593399,1
"432","BERWICK PA",-76.23230743,41.05486679,15
