"location","lon","lat","counts","positive.counts","negative.counts","neutral.counts","totalpopulation"
"ATLANTIC CITY NJ",-74.42202759,39.36457062,226,69,62,95,39547
"ATLANTIC HIGHLANDS NJ",-74.03326416,40.40827942,2,0,0,2,4346
"ATOKA OK",-96.12915039,34.38588333,2,0,0,2,3077
"ATOKA TN",-89.77851868,35.44120789,2,2,0,0,8845
"ATTALLA AL",-86.08874512,34.02215958,1,0,0,1,5965
"ATTICA IN",-87.24867249,40.29444122,3,1,1,1,3352
"ATTLEBORO MA",-71.28439331,41.94469833,18,5,3,10,43953
"ATWATER CA",-120.6140137,37.34663773,7,2,1,4,28858
"AUBREY TX",-96.98683167,33.30471039,2,0,1,1,2852
"AUBURN AL",-85.48087311,32.61021423,244,59,76,109,58693
"AUBURN CA",-121.0794067,38.89623642,1374,399,356,619,13785
"AUBURN GA",-83.82753754,34.01380157,2,0,0,2,7409
"AUBURN IL",-89.74681854,39.59179688,5,1,3,1,4870
"AUBURN ME",-70.23028564,44.09794235,17,3,5,9,22916
"AUBURN MI",-84.06974792,43.60359955,3,1,1,1,2175
"AUBURN NY",-76.56542969,42.93203735,20,4,4,12,27264
"AUBURN WA",-122.2304688,47.30677795,84,23,27,34,74527
"AUBURNDALE FL",-81.78826904,28.06580925,1,0,0,1,14281
"AUDUBON NJ",-75.07247162,39.89139175,1,0,1,0,8772
"AUGUSTA KS",-96.97721863,37.68652725,28,9,10,9,9242
"AUGUSTA ME",-69.7781601,44.31053925,19,3,4,12,18772
"AURORA CO",-104.8693161,39.73983765,466,138,133,195,345867
"AURORA IL",-88.32048798,41.76070023,235,68,64,103,200614
"AURORA NC",-76.78784943,35.30578995,2,1,1,0,505
"AURORA NY",-76.70005035,42.75400162,2,1,0,1,740
"AUSTELL GA",-84.63414001,33.81290054,79,22,14,43,6994
"AUSTIN IN",-85.80773163,38.75847626,1,0,0,1,4235
"AUSTIN MN",-92.97491455,43.6665535,16,5,8,3,24687
"AUSTIN TX",-97.74386597,30.26748466,17442,4758,5078,7606,887061
"AUXVASSE MO",-91.89766693,39.01833725,1,0,0,1,1298
"AVA MO",-92.6605835,36.95189667,4,1,1,2,2961
"AVALON CA",-118.329773,33.34281921,1,0,0,1,3777
"AVENAL CA",-120.1306839,36.00422668,1,0,1,0,14154
"AVIS PA",-77.31352997,41.1848526,19,5,6,8,1650
"AVOCA NY",-77.42100525,42.40945435,3,0,2,1,1033
"AVON CO",-106.5237427,39.63142395,4,2,0,2,6414
"AVON LAKE OH",-82.02809906,41.50548935,9,4,3,2,23052
"AVON OH",-82.0351944,41.45196533,1,0,0,1,22046
"AVON PARK FL",-81.50580597,27.59641075,1,1,0,0,9974
"AVONDALE AZ",-112.3513947,33.43592072,91,29,21,41,78872
"AVONDALE PA",-75.78266907,39.82365036,1,0,1,0,1506
"AVONMORE PA",-79.46125031,40.52923965,1,0,1,0,985
"AZLE TX",-97.54621887,32.89556885,43,6,15,22,10860
"AZTEC NM",-107.9938355,36.82159805,2,1,1,0,6501
"AZUSA CA",-117.9098816,34.13357544,40,11,11,18,48033
"BABYLON NY",-73.3247757,40.696064,2,1,0,1,12186
"BAINBRIDGE GA",-84.57505798,30.90430069,4,2,1,1,12576
"BAKER LA",-91.16854858,30.58853531,1,1,0,0,13800
