"yday","location","time","location_total.counts","positive.counts","negative.counts","neutral.counts","counts","lon","lat","totalpopulation"
222,"FOREST PARK IL",2,1,0,1,0,1,-87.81355286,41.87948608,14194
222,"FORKS WA",2,1,0,0,1,1,-124.3879929,47.94977951,3693
222,"FORT ATKINSON WI",2,1,0,0,1,1,-88.83695984,42.92907715,12447
222,"FORT COLLINS CO",2,2,0,2,0,2,-105.0858688,40.58546066,153292
222,"FORT LAUDERDALE FL",2,31,8,16,7,31,-80.14283752,26.12309074,173570
222,"FORT MYERS FL",2,5,0,3,2,5,-81.87184143,26.64133644,68472
222,"FORT SMITH AR",2,1,1,0,0,1,-94.39919281,35.3862114,87603
222,"FORT VALLEY GA",2,1,0,1,0,1,-83.88742828,32.5541687,9192
222,"FORT WALTON BEACH FL",2,2,0,1,1,2,-86.61834717,30.40767479,20767
222,"FORT WAYNE IN",2,3,1,2,0,3,-85.13967896,41.07278061,257059
222,"FORT WORTH TX",2,36,5,16,15,36,-97.32135773,32.72562027,796614
222,"FRANKFORT KY",2,2,1,0,1,2,-84.87322235,38.20124054,27535
222,"FREDERICK MD",2,1,0,1,0,1,-77.40981293,39.41444397,67421
222,"FREMONT CA",2,4,0,1,3,4,-121.9740372,37.55101776,225221
222,"FRESNO CA",2,10,2,3,5,10,-119.7739868,36.74755478,510451
222,"FRIDLEY MN",2,1,0,1,0,1,-93.2636261,45.08617401,27592
222,"FULLERTON CA",2,2,1,0,1,2,-117.9268646,33.87014771,138976
222,"GAINESVILLE FL",2,15,3,6,6,15,-82.32462311,29.65203285,127559
222,"GAINESVILLE GA",2,1,0,1,0,1,-83.82389832,34.29787827,37115
222,"GALESBURG IL",2,1,0,1,0,1,-90.37152863,40.9480629,31696
222,"GALLATIN TN",2,1,0,0,1,1,-86.44691467,36.38848495,32518
222,"GARDEN CITY NY",2,1,0,0,1,1,-73.63320923,40.72684097,22575
222,"GARDEN GROVE CA",2,4,2,1,1,4,-117.943718,33.77397156,174721
222,"GARLAND TX",2,1,0,1,0,1,-96.63926697,32.91297531,234213
222,"GARY IN",2,1,0,0,1,1,-87.33873749,41.59325409,78483
222,"GENEVA OH",2,1,0,1,0,1,-80.94763184,41.80530167,6101
222,"GEORGETOWN TX",2,1,0,0,1,1,-97.67801666,30.6329689,56102
222,"GLENDALE CA",2,2,0,1,1,2,-118.2566681,34.1423645,196984
222,"GONZALES LA",2,1,0,0,1,1,-90.92044067,30.23900986,10319
222,"GOOSE CREEK SC",2,2,1,1,0,2,-80.03201294,32.98114395,39408
222,"GRAND FORKS ND",2,2,0,2,0,2,-97.03855133,47.92044067,54944
222,"GRAND JUNCTION CO",2,1,0,1,0,1,-108.5520706,39.06374741,59945
222,"GRAND RAPIDS MI",2,17,4,6,7,17,-85.66797638,42.96317291,192416
222,"GRANITE CITY IL",2,3,0,3,0,3,-90.14891815,38.70147705,29421
222,"GRAPEVINE TX",2,1,0,1,0,1,-97.07859802,32.93464279,49609
222,"GRAY COURT SC",2,1,0,0,1,1,-82.11286926,34.60851669,711
222,"GREEN BAY WI",2,2,0,0,2,2,-88.01370239,44.51335907,104847
222,"GREENBELT MD",2,9,2,3,4,9,-76.87561035,39.00544357,23827
222,"GREENEVILLE TN",2,1,0,1,0,1,-82.83133698,36.16376495,15031
222,"GREENSBORO NC",2,37,5,14,18,37,-79.79152679,36.0729599,279427
222,"GREENVILLE NC",2,6,2,4,0,6,-77.37215424,35.61170959,88598
222,"GREENVILLE SC",2,29,2,16,11,29,-82.39870453,34.84753418,61734
222,"GREENWOOD IN",2,1,0,1,0,1,-86.10647583,39.61371994,53828
222,"GRIFFIN GA",2,1,0,0,1,1,-84.26403046,33.24713135,23312
222,"GRIFFITH IN",2,1,0,1,0,1,-87.42803955,41.52181625,16643
222,"GROTON CT",2,2,1,0,1,2,-72.07763672,41.3502121,9305
222,"GULF SHORES AL",2,1,1,0,0,1,-87.70103455,30.24625969,10703
