"Code","State","State_id","City","City2","City3","Place_type","City_state","City_code","avgCensus2010pop","avgPopestimate2015","rownum","id","id2","geography","totalpopulation","malepop","femalepop","medianage","per_male","per_female","total_area","urban","rural","per_urban","per_rural","house_total_population","house_total_income","total_population_race","white_population","black_population","per_white","per_black","total_pop_over16","employ_pop_over16","per_employ_over16","total_population_lang","english_only","english_other","per_english_only","per_english_other","mean_income_households","total_population_individuals","house_median_income","med_per_urban","med_per_rural","med_per_employ_over16","city","state","location","lon","lat","count","count_rate","mean_income_per_capita"
"CA","California",6,"Santa Ana city","Santa Ana","Santa Ana","city","Santa Ana, California","Santa Ana, CA",324528,334472,3150,"1600000US0669000",669000,"Santa Ana city, California",333268,167303,165965,30.2,50.2,49.8,324528,324528,0,100,0,74757,74757,333268,165631,3890,49.7,1.17,247933,165224,66.6,306235,53954,252281,17.6,82.4,66440,333268,52253,99.95,0.05,63.8,"SANTA ANA","CA","SANTA ANA CA",-117.8697281,33.74567413,233,0.699137031,16335
"CA","California",6,"Santa Barbara city","Santa Barbara","Santa Barbara","city","Santa Barbara, California","Santa Barbara, CA",88410,91622,3151,"1600000US0669070",669070,"Santa Barbara city, California",90401,44815,45586,36.7,49.57,50.43,88410,88214,196,99.78,0.22,34973,34973,90401,69627,1340,77.02,1.48,75348,51839,68.8,84934,53114,31820,62.5,37.5,94076,90401,66107,99.95,0.05,63.8,"SANTA BARBARA","CA","SANTA BARBARA CA",-119.7056656,34.4233017,864,9.5574164,37584
"CA","California",6,"Santa Clara city","Santa Clara","Santa Clara","city","Santa Clara, California","Santa Clara, CA",116468,126274,3152,"1600000US0669084",669084,"Santa Clara city, California",121374,61538,59836,34.3,50.7,49.3,116468,116468,0,100,0,43433,43433,121374,55811,4493,45.98,3.7,97418,67102,68.9,112210,53496,58714,47.7,52.3,116547,121374,98914,99.95,0.05,63.8,"SANTA CLARA","CA","SANTA CLARA CA",-121.946434,37.34754181,299,2.463460049,42967
"CA","California",6,"Santa Cruz city","Santa Cruz","Santa Cruz","city","Santa Cruz, California","Santa Cruz, CA",59946,64238,3154,"1600000US0669112",669112,"Santa Cruz city, California",62752,30895,31857,28.7,49.23,50.77,59946,59946,0,100,0,21516,21516,62752,49106,1204,78.25,1.92,55200,33645,61,60266,45069,15197,74.8,25.2,85434,62752,62164,99.95,0.05,63.8,"SANTA CRUZ","CA","SANTA CRUZ CA",-122.0333557,36.97389984,618,9.848291688,30391
"CA","California",6,"Santa Fe Springs city","Santa Fe Springs","Santa Fe Springs","city","Santa Fe Springs, California","Santa Fe Springs, CA",16223,17936,3155,"1600000US0669154",669154,"Santa Fe Springs city, California",17162,8012,9150,35.6,46.68,53.32,16223,16223,0,100,0,4931,4931,17162,10661,460,62.12,2.68,13243,7637,57.7,16053,6949,9104,43.3,56.7,68819,17162,53168,99.95,0.05,63.8,"SANTA FE SPRINGS","CA","SANTA FE SPRINGS CA",-118.0864639,33.94723129,2,0.116536534,21096
"CA","California",6,"Santa Maria city","Santa Maria","Santa Maria","city","Santa Maria, California","Santa Maria, CA",99553,104876,3157,"1600000US0669196",669196,"Santa Maria city, California",102618,52195,50423,29.4,50.86,49.14,99553,99463,90,99.91,0.09,27365,27365,102618,72611,1494,70.76,1.46,73580,48843,66.4,93124,33588,59536,36.1,63.9,64286,102618,50433,99.95,0.05,63.8,"SANTA MARIA","CA","SANTA MARIA CA",-120.437973,34.95292664,37,0.360560525,17987
"CA","California",6,"Santa Monica city","Santa Monica","Santa Monica","city","Santa Monica, California","Santa Monica, CA",89736,92787,3158,"1600000US0670000",670000,"Santa Monica city, California",92169,44537,47632,40.5,48.32,51.68,89736,89736,0,100,0,46688,46688,92169,73363,4106,79.6,4.45,80874,57746,71.4,88076,62660,25416,71.1,28.9,115020,92169,76580,99.95,0.05,63.8,"SANTA MONICA","CA","SANTA MONICA CA",-118.4925232,34.01921082,1180,12.80256919,59704
"CA","California",6,"Santa Paula city","Santa Paula","Santa Paula","city","Santa Paula, California","Santa Paula, CA",29321,30442,3160,"1600000US0670042",670042,"Santa Paula city, California",30246,15572,14674,33.1,51.48,48.52,29321,29283,38,99.87,0.13,8614,8614,30246,23531,86,77.8,0.28,22294,14609,65.5,27932,11039,16893,39.5,60.5,67363,30246,52824,99.95,0.05,63.8,"SANTA PAULA","CA","SANTA PAULA CA",-119.0609283,34.35404587,15,0.495933347,20177
"CA","California",6,"Santa Rosa city","Santa Rosa","Santa Rosa","city","Santa Rosa, California","Santa Rosa, CA",167815,174873,3161,"1600000US0670098",670098,"Santa Rosa city, California",172066,84743,87323,38,49.25,50.75,167815,167609,206,99.88,0.12,64088,64088,172066,125416,3795,72.89,2.21,137173,90401,65.9,161725,111643,50082,69,31,79366,172066,61050,99.95,0.05,63.8,"SANTA ROSA","CA","SANTA ROSA CA",-122.7165146,38.44017792,709,4.120511897,30577
"CA","California",6,"Santee city","Santee","Santee","city","Santee, California","Santee, CA",53413,57635,3166,"1600000US0670224",670224,"Santee city, California",56255,27167,29088,37.5,48.29,51.71,53413,53413,0,100,0,19364,19364,56255,46749,998,83.1,1.77,44473,29847,67.1,52625,44590,8035,84.7,15.3,85690,56255,76104,99.95,0.05,63.8,"SANTEE","CA","SANTEE CA",-116.9754105,32.83840942,1,0.017776198,30805
"CA","California",6,"Saratoga city","Saratoga","Saratoga","city","Saratoga, California","Saratoga, CA",29926,31028,3168,"1600000US0670280",670280,"Saratoga city, California",30817,15058,15759,48.4,48.86,51.14,29926,29785,141,99.53,0.47,10800,10800,30817,15016,186,48.73,0.6,24845,14180,57.1,30032,16518,13514,55,45,219795,30817,169189,99.95,0.05,63.8,"SARATOGA","CA","SARATOGA CA",-122.0252457,37.26384735,25,0.811240549,77958
"CA","California",6,"Sausalito city","Sausalito","Sausalito","city","Sausalito, California","Sausalito, CA",7061,7179,3171,"1600000US0670364",670364,"Sausalito city, California",7094,3397,3697,52.3,47.89,52.11,7061,7061,0,100,0,3825,3825,7094,6443,142,90.82,2,6553,4790,73.1,6863,5689,1174,82.9,17.1,178616,7094,122434,99.95,0.05,63.8,"SAUSALITO","CA","SAUSALITO CA",-122.4881592,37.85736847,32,4.510854243,97509
"CA","California",6,"Seal Beach city","Seal Beach","Seal Beach","city","Seal Beach, California","Seal Beach, CA",24168,24556,3175,"1600000US0670686",670686,"Seal Beach city, California",24551,11255,13296,57.7,45.84,54.16,24168,24168,0,100,0,12498,12498,24551,19872,267,80.94,1.09,21695,10845,50,23712,19857,3855,83.7,16.3,91646,24551,55270,99.95,0.05,63.8,"SEAL BEACH","CA","SEAL BEACH CA",-118.1067505,33.74150848,8,0.325852307,47419
